id,no,name,team,season,yr,pos,g,pa,ab,r,h,x2b,x3b,hr,rbi,bb,so,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,gdp,go,fo,go_fo
adamsry01,22,Ryan  Adams,AUR,2011,Jr,OF,43,205,160,54,59,9,2,3,36,36,18,17,2,0.369,0.48,0.506,2,4,3,81,14,2,35,48,0.73
adamsry01,22,Ryan  Adams,AUR,2012,Sr,OF,48,226,173,66,66,15,2,3,51,40,23,25,2,0.382,0.495,0.543,3,4,6,94,20,0,44,45,0.98
adamsty01,8,Tyler  Adams,CUW,2013,So,RHP/INF,14,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
ahlersa01,26,Sam  Ahlersmeyer,CUW,2010,Fr,,9,4,4,0,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25,0,0,0,1,0,0,1,0,
aloisju01,13,Justin  Aloisio,AUR,2010,Fr,OF,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,
amedean01,6,Anthony  Amedei,AUR,2010,Jr,IF,43,210,180,56,61,7,1,2,21,19,25,21,5,0.339,0.425,0.422,8,0,3,76,10,0,50,34,1.47
amedean01,6,Anthony  Amedei,AUR,2011,Sr,IF/OF,44,225,197,40,64,11,3,3,34,19,19,33,7,0.325,0.385,0.457,2,3,4,90,17,1,57,56,1.02
amelugu01,26,Gunner  Amelunk,WLC,2017,Fr,OF,12,23,19,10,5,0,0,0,1,3,5,5,1,0.263,0.391,0.263,1,0,0,5,0,1,5,2,2.5
anderch01,37,Chris  Anderson,DOM,2010,Jr,,36,136,121,20,36,7,1,0,19,10,21,0,0,0.298,0.353,0.372,1,1,3,45,8,3,37,28,1.32
anderch01,36,Chris  Anderson,DOM,2011,Sr,,39,174,148,23,47,5,0,1,35,16,18,0,0,0.318,0.397,0.372,6,4,0,55,6,7,48,33,1.45
anderdo01,16,Dominik  Anderson,LAK,2014,Fr,OF,1,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
anderet01,23,Ethan  Anderson,EDG,2011,Fr,UTL,2,3,1,1,0,0,0,0,0,1,1,1,0,0.0,0.667,0.0,1,0,0,0,0,0,0,0,
anderjo01,2,Joey  Anderson,CUC,2015,So,OF,5,5,4,2,3,0,1,0,1,1,0,0,0,0.75,0.8,1.25,0,0,0,5,1,0,1,0,
anderjo01,5,Joey  Anderson,CUC,2016,Jr,OF,7,13,10,2,5,1,0,0,3,1,3,0,0,0.5,0.615,0.6,2,0,0,6,1,0,1,0,
anderjo01,5,Joey  Anderson,CUC,2017,Sr,OF,31,32,24,8,6,2,0,0,2,8,7,3,0,0.25,0.438,0.333,0,0,0,8,2,0,5,4,1.25
andraro01,15,Robert  Andrade,BEN,2016,So,,2,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,
andrudu01,12,Dustin  Andrus,MAR,2011,Sr,,10,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,
andrumi01,6,Mitch  Andrus,MAR,2012,Jr,INF,14,4,3,2,0,0,0,0,0,0,2,1,1,0.0,0.25,0.0,1,0,0,0,0,0,0,1,
andrumi01,6,Mitchell  Andrus,MAR,2011,So,,11,0,0,2,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,
andrumi01,6,Mitchell  Andrus,MAR,2013,Sr,INF/RHP,6,9,6,6,2,0,0,0,0,1,2,1,1,0.333,0.5,0.333,1,0,1,2,0,0,1,0,
